"evseid","operatorname","num_occupied","num_tot","lat","lng","occupied_ratio"
"CH*REPE158*01*1","PLUG’N ROLL","14240","18791","47.4311790101739","8.5676500083999","0.75780958969719546591"
"CH*REPE158*01*1","PLUG’N ROLL","14240","18791","47.4311790101739","8.5676500083999","0.75780958969719546591"
"CH*REPE158*01*1","PLUG’N ROLL","14240","18791","47.4311790101739","8.5676500083999","0.75780958969719546591"
"CH*SWIEE1583","Swisscharge","13170","18899","47.0783600101355","8.27828000822018","0.69686226784485951638"
"CH*SWIEE1583","Swisscharge","13170","18899","47.0783600101355","8.27828000822018","0.69686226784485951638"
"CH*SWIEE1583","Swisscharge","13170","18899","47.0783600101355","8.27828000822018","0.69686226784485951638"
"CHEVPE1419","evpass","12328","18898","46.5034300102833","6.68490300665634","0.65234416340353476558"
"CHEVPE1419","evpass","12328","18898","46.5034300102833","6.68490300665634","0.65234416340353476558"
"CHEVPE1419","evpass","12328","18898","46.5034300102833","6.68490300665634","0.65234416340353476558"
"CH*CCI*E20152","Move","11057","18169","47.4463770104185","7.69501500752421","0.60856403764654081127"
"CH*CCI*E20152","Move","11057","18169","47.4463770104185","7.69501500752421","0.60856403764654081127"
"CH*CCI*E20152","Move","11057","18169","47.4463770104185","7.69501500752421","0.60856403764654081127"
"CH*REPE023*01*1","PLUG’N ROLL","9389","18792","46.6270290093245","10.3362100102743","0.49962750106428267348"
"CH*REPE023*01*1","PLUG’N ROLL","9389","18792","46.6270290093245","10.3362100102743","0.49962750106428267348"
"CH*REPE023*01*1","PLUG’N ROLL","9389","18792","46.6270290093245","10.3362100102743","0.49962750106428267348"
"CH*CCC*E50120","Move","9027","18390","47.4979550104698","7.55843200736907","0.49086460032626427406"
"CH*CCC*E50120","Move","9027","18390","47.4979550104698","7.55843200736907","0.49086460032626427406"
"CH*CCC*E50120","Move","9027","18390","47.4979550104698","7.55843200736907","0.49086460032626427406"
"CH*CCI*EBB*4827*6","Move","7059","18420","46.9219230103708","7.11316400704118","0.38322475570032573290"
"CH*CCI*EBB*4827*6","Move","7059","18420","46.9219230103708","7.11316400704118","0.38322475570032573290"
"CH*CCI*EBB*4827*6","Move","7059","18420","46.9219230103708","7.11316400704118","0.38322475570032573290"
"CH*CCI*EBA*6779*2","Move","5028","15024","47.0814520100918","8.43915300837969","0.33466453674121405751"
"CH*CCI*EBA*6779*2","Move","5028","15024","47.0814520100918","8.43915300837969","0.33466453674121405751"
"CH*CCI*EBA*6779*2","Move","5028","15024","47.0814520100918","8.43915300837969","0.33466453674121405751"
"CH*CCI*E20142","Move","5995","18393","47.5532590104705","7.62269300742015","0.32593921600608927309"
"CH*CCI*E20142","Move","5995","18393","47.5532590104705","7.62269300742015","0.32593921600608927309"
"CH*CCI*E20142","Move","5995","18393","47.5532590104705","7.62269300742015","0.32593921600608927309"
"CH*SWIEE15139","Swisscharge","5609","17926","47.7824950102419","8.67789600839111","0.31289746736583733125"
"CH*SWIEE15139","Swisscharge","5609","17926","47.7824950102419","8.67789600839111","0.31289746736583733125"
"CH*SWIEE15139","Swisscharge","5609","17926","47.7824950102419","8.67789600839111","0.31289746736583733125"
"CH*SWIEE22899","Swisscharge","5439","18879","47.4224770103912","7.77017900760801","0.28809788654060066741"
"CH*SWIEE22899","Swisscharge","5439","18879","47.4224770103912","7.77017900760801","0.28809788654060066741"
"CH*SWIEE22899","Swisscharge","5439","18879","47.4224770103912","7.77017900760801","0.28809788654060066741"
"CH*SWIEE18246","Swisscharge","5006","18541","46.7730110101851","7.6309690076328","0.26999622458335580605"
"CH*SWIEE18246","Swisscharge","5006","18541","46.7730110101851","7.6309690076328","0.26999622458335580605"
"CH*SWIEE18246","Swisscharge","5006","18541","46.7730110101851","7.6309690076328","0.26999622458335580605"
"CH*CCI*E20065","Move","4804","18426","46.9837780104497","6.87513600676684","0.26071854987517638120"
"CH*CCI*E20065","Move","4804","18426","46.9837780104497","6.87513600676684","0.26071854987517638120"
"CH*CCI*E20065","Move","4804","18426","46.9837780104497","6.87513600676684","0.26071854987517638120"
"CH*CCI*EBA*7313*3","Move","4523","18423","47.1775730102139","8.12357100803634","0.24550833197633393041"
"CH*CCI*EBA*7313*3","Move","4523","18423","47.1775730102139","8.12357100803634","0.24550833197633393041"
"CH*CCI*EBA*7313*3","Move","4523","18423","47.1775730102139","8.12357100803634","0.24550833197633393041"
"CH*SWIEE11042","Swisscharge","4423","18899","47.0570490101189","8.30985900825789","0.23403354674850521192"
"CH*SWIEE11042","Swisscharge","4423","18899","47.0570490101189","8.30985900825789","0.23403354674850521192"
"CH*SWIEE11042","Swisscharge","4423","18899","47.0570490101189","8.30985900825789","0.23403354674850521192"
"CH*CCI*EBB*2719*2","Move","3752","17019","47.0897500105061","6.80710000666828","0.22045948645631353193"
"CH*CCI*EBB*2719*2","Move","3752","17019","47.0897500105061","6.80710000666828","0.22045948645631353193"
"CH*CCI*EBB*2719*2","Move","3752","17019","47.0897500105061","6.80710000666828","0.22045948645631353193"
"CHEVPE942","evpass","4095","18898","46.5494700103404","6.51358600645325","0.21668959678272833104"
"CHEVPE942","evpass","4095","18898","46.5494700103404","6.51358600645325","0.21668959678272833104"
"CHEVPE942","evpass","4095","18898","46.5494700103404","6.51358600645325","0.21668959678272833104"
"CH*CCC*E00501","Move","3426","16641","46.8228200103217","7.14977200710378","0.20587705065801334054"
"CH*CCC*E00501","Move","3426","16641","46.8228200103217","7.14977200710378","0.20587705065801334054"
"CH*SWIEE1792","Swisscharge","3041","15208","47.3648180101558","8.55699800841025","0.19996054708048395581"
"CH*SWIEE1792","Swisscharge","3041","15208","47.3648180101558","8.55699800841025","0.19996054708048395581"
"CH*SWIEE1792","Swisscharge","3041","15208","47.3648180101558","8.55699800841025","0.19996054708048395581"
"CH*SWIEE2392","Swisscharge","3467","18899","47.4129440099607","9.25243300904984","0.18344885972802793799"
"CH*SWIEE2392","Swisscharge","3467","18899","47.4129440099607","9.25243300904984","0.18344885972802793799"
"CH*SWIEE2392","Swisscharge","3467","18899","47.4129440099607","9.25243300904984","0.18344885972802793799"
"CH*CCI*E20122","Move","3215","18411","46.9465260103011","7.44781800739562","0.17462386616696540112"
"CH*CCI*E20122","Move","3215","18411","46.9465260103011","7.44781800739562","0.17462386616696540112"
"CH*CCI*E20122","Move","3215","18411","46.9465260103011","7.44781800739562","0.17462386616696540112"
"CHEVPE158","evpass","3285","18898","46.5494700103404","6.51358600645325","0.17382791829823261721"
"CHEVPE158","evpass","3285","18898","46.5494700103404","6.51358600645325","0.17382791829823261721"
"CHEVPE158","evpass","3285","18898","46.5494700103404","6.51358600645325","0.17382791829823261721"
"CH*SWIEE3523","Swisscharge","3231","18899","47.4952260101454","8.73138500853656","0.17096142653050425948"
"CH*SWIEE3523","Swisscharge","3231","18899","47.4952260101454","8.73138500853656","0.17096142653050425948"
"CH*SWIEE3523","Swisscharge","3231","18899","47.4952260101454","8.73138500853656","0.17096142653050425948"
"CH*CCI*EBB*2835*2","Move","3063","18429","46.3944780103221","6.23632600616417","0.16620543708285853817"
"CH*CCI*EBB*2835*2","Move","3063","18429","46.3944780103221","6.23632600616417","0.16620543708285853817"
"CH*CCI*EBB*2835*2","Move","3063","18429","46.3944780103221","6.23632600616417","0.16620543708285853817"
"CH*SWIEE4464","Swisscharge","3101","18898","47.0633240103983","7.23326300713764","0.16409143824743359086"
"CH*SWIEE4464","Swisscharge","3101","18898","47.0633240103983","7.23326300713764","0.16409143824743359086"
