"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*E20066","Move","010100002008080000BABB31E964824341E9E6EF574D5E3241","1203789.34350436","2557129.82183024","0","14848","22",5,23,"0.000000000000000000000000"
"CH*CCI*E20066","Move","010100002008080000BABB31E964824341E9E6EF574D5E3241","1203789.34350436","2557129.82183024","0","14848","22",5,24,"0.000000000000000000000000"
"CH*CCC*E00510","Move","010100002008080000BEAAE4C712AB43412008DCF3F5173241","1185781.95257617","2577957.56166586","0","18236","22",5,3,"0.000000000000000000000000"
"CH*CCC*E00510","Move","010100002008080000BEAAE4C712AB43412008DCF3F5173241","1185781.95257617","2577957.56166586","0","18236","22",5,3,"0.000000000000000000000000"
"CH*SWIEE8922","Swisscharge","0101000020080800006656F14187714441DB19705E6D0D3341","1248621.36889803","2679566.51517754","457","18452","22",1,3,"0.02476696293084760460"
"CH*SWIEE8922","Swisscharge","0101000020080800006656F14187714441DB19705E6D0D3341","1248621.36889803","2679566.51517754","457","18452","22",1,3,"0.02476696293084760460"
"CH*SWIEE8922","Swisscharge","0101000020080800006656F14187714441DB19705E6D0D3341","1248621.36889803","2679566.51517754","457","18452","22",1,3,"0.02476696293084760460"
"CH*IBA*EAC016","Eniwa","010100002008080000F167EBA789324441DCF68DDB5ADB3241","1235802.85763495","2647315.31187152","200","17876","22.2",7,21,"0.01118818527634817633"
"CH*IBA*EAC016","Eniwa","010100002008080000F167EBA789324441DCF68DDB5ADB3241","1235802.85763495","2647315.31187152","200","17876","22.2",7,17,"0.01118818527634817633"
"CH*IBA*EAC016","Eniwa","010100002008080000F167EBA789324441DCF68DDB5ADB3241","1235802.85763495","2647315.31187152","200","17876","22.2",7,23,"0.01118818527634817633"
"CH*SWIEE7784","Swisscharge","01010000200808000096075F9B3592444157F03DDE583E3341","1261144.86813261","2696299.21383757","432","18653","22",1,64,"0.02315981343483621937"
"CH*SWIEE7784","Swisscharge","01010000200808000096075F9B3592444157F03DDE583E3341","1261144.86813261","2696299.21383757","432","18653","22",1,70,"0.02315981343483621937"
"CH*SWIEE7784","Swisscharge","01010000200808000096075F9B3592444157F03DDE583E3341","1261144.86813261","2696299.21383757","432","18653","22",1,64,"0.02315981343483621937"
"CHEVPE2285","evpass","01010000200808000042836CD7D2E54441E944D26560133341","1250144.3977397","2739109.68299905","190","16314","50.0",2,73,"0.01164643864165747211"
"CHEVPE2285","evpass","01010000200808000042836CD7D2E54441E944D26560133341","1250144.3977397","2739109.68299905","190","16314","50.0",2,74,"0.01164643864165747211"
"CHEVPE2285","evpass","01010000200808000042836CD7D2E54441E944D26560133341","1250144.3977397","2739109.68299905","190","16314","50.0",2,83,"0.01164643864165747211"
"CH*CCI*EBB*2836*9","Move","010100002008080000DD930CBBDD9B4341F15CB671CE363241","1193678.44418889","2570171.46132134","279","18420","22",7,3,"0.01514657980456026059"
