"evseid","operatorname","geom","lat","lng","power","municipal_typologie","population_hect","occupied_ratio"
"CH*CCI*E20052","Move","010100002008080000A9BF9A98F2A74341311D70F968803141","1146984.97436697","2576357.19222255","22",6,21,"0.02364193219063994412"
"CH*CCI*E20120","Move","0101000020080800006EA1DAE078ED4341957FC691C12F3341","1257409.56943509","2611953.75667208","22",3,76,"0.01230455107194669819"
"CH*CCI*E20120","Move","0101000020080800006EA1DAE078ED4341957FC691C12F3341","1257409.56943509","2611953.75667208","22",3,81,"0.01230455107194669819"
"CH*CCI*E20120","Move","0101000020080800006EA1DAE078ED4341957FC691C12F3341","1257409.56943509","2611953.75667208","22",3,90,"0.01230455107194669819"
"CH*SWIEE8463","Swisscharge","0101000020080800004BA0B51483A143419AF8636693193341","1251731.39996294","2573062.16179279","60",6,9,"0.00015873855759563998"
"CH*SWIEE8463","Swisscharge","0101000020080800004BA0B51483A143419AF8636693193341","1251731.39996294","2573062.16179279","60",6,15,"0.00015873855759563998"
"CH*SWIEE8463","Swisscharge","0101000020080800004BA0B51483A143419AF8636693193341","1251731.39996294","2573062.16179279","60",6,15,"0.00015873855759563998"
"CH*SWIEE17453","Swisscharge","010100002008080000255C7280E1144541C7B709498FDB3141","1170319.28530453","2763203.00348999","11",7,3,"0.00894227207788771893"
"CH*SWIEE17453","Swisscharge","010100002008080000255C7280E1144541C7B709498FDB3141","1170319.28530453","2763203.00348999","11",7,3,"0.00894227207788771893"
"CH*SWIEE17453","Swisscharge","010100002008080000255C7280E1144541C7B709498FDB3141","1170319.28530453","2763203.00348999","11",7,3,"0.00894227207788771893"
"CHEVPE2130","evpass","0101000020080800006202ACB38CFA4441D794B5AA99373341","1259417.66683321","2749721.40368681","50.0",3,11,"0.00264564262659399968"
"CHEVPE2130","evpass","0101000020080800006202ACB38CFA4441D794B5AA99373341","1259417.66683321","2749721.40368681","50.0",3,13,"0.00264564262659399968"
"CHEVPE2130","evpass","0101000020080800006202ACB38CFA4441D794B5AA99373341","1259417.66683321","2749721.40368681","50.0",3,3,"0.00264564262659399968"
"CH*SWIEE5218","Swisscharge","0101000020080800003912B02BE7E943419C50B0B5A75A3341","1268391.7097216","2610126.34131077","22",1,40,"0.08418434837822106990"
"CH*SWIEE5218","Swisscharge","0101000020080800003912B02BE7E943419C50B0B5A75A3341","1268391.7097216","2610126.34131077","22",1,40,"0.08418434837822106990"
"CH*SWIEE5218","Swisscharge","0101000020080800003912B02BE7E943419C50B0B5A75A3341","1268391.7097216","2610126.34131077","22",1,37,"0.08418434837822106990"
"CH*CCI*EBA*6868*7","Move","010100002008080000DFBA3BCDA7E14341B8EEF0DAB5333341","1258421.85523884","2605903.60338531","22",3,13,"0.00015873855759563998"
"CH*CCI*EBA*6868*7","Move","010100002008080000DFBA3BCDA7E14341B8EEF0DAB5333341","1258421.85523884","2605903.60338531","22",3,9,"0.00015873855759563998"
"CH*CCI*EBA*6868*7","Move","010100002008080000DFBA3BCDA7E14341B8EEF0DAB5333341","1258421.85523884","2605903.60338531","22",3,11,"0.00015873855759563998"
"CH*REPE115*01*2","PLUG’N ROLL","0101000020080800008A7727561B5045416EE72A01BFC13141","1163711.00456091","2793526.67307944","22.08",9,3,"0.03016032594317159638"
"CH*REPE115*01*2","PLUG’N ROLL","0101000020080800008A7727561B5045416EE72A01BFC13141","1163711.00456091","2793526.67307944","22.08",9,3,"0.03016032594317159638"
"CH*REPE115*01*2","PLUG’N ROLL","0101000020080800008A7727561B5045416EE72A01BFC13141","1163711.00456091","2793526.67307944","22.08",9,4,"0.03016032594317159638"
"CH*REPE023*01*2","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","22.08",9,3,"0.02312291655643155723"
"CH*REPE023*01*2","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","22.08",9,3,"0.02312291655643155723"
"CH*REPE023*01*2","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","22.08",9,3,"0.02312291655643155723"
"CH*CCC*E50123","Move","010100002008080000622FA301080B4441054037C6C1F03241","1241281.77428055","2627088.01279251","175",5,86,"0.00064477996883563484"
"CH*CCC*E50123","Move","010100002008080000622FA301080B4441054037C6C1F03241","1241281.77428055","2627088.01279251","175",5,95,"0.00064477996883563484"
"CH*CCC*E50123","Move","010100002008080000622FA301080B4441054037C6C1F03241","1241281.77428055","2627088.01279251","175",5,81,"0.00064477996883563484"
"CH*CCI*E20009","Move","0101000020080800004438587810DF4341EC08083130373241","1193776.19152885","2604576.94019225","22",3,51,"0.01225081940787706195"
"CH*CCI*E20009","Move","0101000020080800004438587810DF4341EC08083130373241","1193776.19152885","2604576.94019225","22",3,52,"0.01225081940787706195"
"CH*CCI*E20009","Move","0101000020080800004438587810DF4341EC08083130373241","1193776.19152885","2604576.94019225","22",3,50,"0.01225081940787706195"
"CH*SWIEE2643","Swisscharge","010100002008080000E0664A5BDE4A44414687BB7E24373341","1259300.49504896","2659772.71320806","11",5,159,"0.13709720091010106355"
"CH*SWIEE2643","Swisscharge","010100002008080000E0664A5BDE4A44414687BB7E24373341","1259300.49504896","2659772.71320806","11",5,165,"0.13709720091010106355"
"CH*SWIEE2643","Swisscharge","010100002008080000E0664A5BDE4A44414687BB7E24373341","1259300.49504896","2659772.71320806","11",5,148,"0.13709720091010106355"
"CH*REPE031*01*1","PLUG’N ROLL","010100002008080000B908F97B2AD4444134FF65D288733341","1274760.82186885","2730068.96853742","22.08",8,6,"0.00296311974178527964"
"CH*REPE031*01*1","PLUG’N ROLL","010100002008080000B908F97B2AD4444134FF65D288733341","1274760.82186885","2730068.96853742","22.08",8,6,"0.00296311974178527964"
"CH*REPE031*01*1","PLUG’N ROLL","010100002008080000B908F97B2AD4444134FF65D288733341","1274760.82186885","2730068.96853742","22.08",8,6,"0.00296311974178527964"
"CH*SWIEE7718","Swisscharge","010100002008080000DC601551F8A1434138C3C8E8FCEB3141","1174524.90931339","2573296.63346492","50",5,3,"0.00269855547912587968"
"CH*SWIEE30991","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","11",3,3,"0.10500118511495615075"
"CH*SWIEE30991","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","11",3,3,"0.10500118511495615075"
"CH*SWIEE30991","Swisscharge","01010000200808000075FC474E96E843415349AC122C403241","1196076.07294138","2609452.61157184","11",3,3,"0.10500118511495615075"
"CH*CCI*E20134","Move","0101000020080800002A68EAC2F0BE43410B7DA44371813141","1147249.26422864","2588129.52277853","22",9,4,"0.00161194992208908710"
"CH*CCI*E20134","Move","0101000020080800002A68EAC2F0BE43410B7DA44371813141","1147249.26422864","2588129.52277853","22",9,6,"0.00161194992208908710"
"CH*CCI*E20134","Move","0101000020080800002A68EAC2F0BE43410B7DA44371813141","1147249.26422864","2588129.52277853","22",9,9,"0.00161194992208908710"
"CH*SWIEE7717","Swisscharge","010100002008080000DC601551F8A1434138C3C8E8FCEB3141","1174524.90931339","2573296.63346492","150",5,3,"0.01026509339118471877"
"CH*SWIEE19688","Swisscharge","0101000020080800008270BC132C05444161C49C35B7C33241","1229751.20942333","2624088.15418822","22",7,13,"0.000000000000000000000000"
"CH*SWIEE19688","Swisscharge","0101000020080800008270BC132C05444161C49C35B7C33241","1229751.20942333","2624088.15418822","22",7,12,"0.000000000000000000000000"
"CH*SWIEE19688","Swisscharge","0101000020080800008270BC132C05444161C49C35B7C33241","1229751.20942333","2624088.15418822","22",7,13,"0.000000000000000000000000"
"CH*E4U*E00179","easy4you","0101000020080800003D28363123E743415E35AFA79AB73241","1226650.65501722","2608710.38446525","22.08",5,19,"0.00000000000000000000"
"CH*E4U*E00179","easy4you","0101000020080800003D28363123E743415E35AFA79AB73241","1226650.65501722","2608710.38446525","22.08",5,18,"0.00000000000000000000"
"CH*E4U*E00179","easy4you","0101000020080800003D28363123E743415E35AFA79AB73241","1226650.65501722","2608710.38446525","22.08",5,23,"0.00000000000000000000"
"CH*SWIEE5220","Swisscharge","010100002008080000F4AC7B6032E943411008D1CD03543341","1266691.80397082","2609764.75377428","22",1,95,"0.02137679242287951743"
"CH*SWIEE5220","Swisscharge","010100002008080000F4AC7B6032E943411008D1CD03543341","1266691.80397082","2609764.75377428","22",1,101,"0.02137679242287951743"
"CH*SWIEE5220","Swisscharge","010100002008080000F4AC7B6032E943411008D1CD03543341","1266691.80397082","2609764.75377428","22",1,108,"0.02137679242287951743"
"CH*SWIEE24647","Swisscharge","010100002008080000D637B509D07944418AD36BB8A6183341","1251494.7203953","2683808.07584284","43",1,91,"0.02026562251971003757"
